date,first_male,first_female,finishers,helpers,last_updated
2024-08-31,Paul STEININGER,Eva ORTNER,33,6,2026-04-11 20:55:02.418300
2024-09-07,Lukas GUPFINGER,Miriam STONEY,40,5,2026-04-11 20:55:02.418300
2024-09-14,Will BROWN,Emilia S,31,5,2026-04-11 20:55:02.418300
2024-09-21,Lukas GUPFINGER,Susanne MÜLLER-WIPPERFÜRTH,26,7,2026-04-11 20:55:02.418300
2024-09-28,Sean BONVARLET,Susanne MÜLLER-WIPPERFÜRTH,27,8,2026-04-11 20:55:02.418300
2024-10-05,Martin VAUPEL,Camilla WEST,19,8,2026-04-11 20:55:02.418300
2024-10-12,Ollie BURLEY,Christine KATZINGER,24,6,2026-04-11 20:55:02.418300
2024-10-19,Sean BONVARLET,Susanne MÜLLER-WIPPERFÜRTH,31,5,2026-04-11 20:55:02.418300
2024-10-26,Sean BONVARLET,Anna LIPP,23,4,2026-04-11 20:55:02.418300
2024-11-02,Lukas STEINDOR,Sarah BINDER,25,5,2026-04-11 20:55:02.418300
2024-11-09,Lukas GUPFINGER,Beate STRECKER,16,8,2026-04-11 20:55:02.418300
2024-11-16,Sean BONVARLET,Margot WURZINGER,29,6,2026-04-11 20:55:02.418300
2024-11-23,Matthias KATZENGRUBER,Tamara HEROLD,19,7,2026-04-11 20:55:02.418300
2024-11-30,Sean BONVARLET,Sarah BINDER,23,6,2026-04-11 20:55:02.418300
2024-12-07,Will BROWN,Anna LIPP,20,6,2026-04-11 20:55:02.418300
2024-12-14,Christoph MITASCH,Miroslava BUKOWIECKI,14,9,2026-04-11 20:55:02.418300
2024-12-21,Matthias VOGT,Anna LIPP,29,7,2026-04-11 20:55:02.418300
2024-12-28,Klaus DERNDORFER,Anna LIPP,28,7,2026-04-11 20:55:02.418300
2025-01-04,Julian GRAD,Eva ORTNER,15,5,2026-04-11 20:55:02.418300
2025-01-11,Alexander BODDY,Bettina PICHLER,31,5,2026-04-11 20:55:02.418300
2025-01-18,Lukas GÄRTNER,Anna LIPP,34,7,2026-04-11 20:55:02.418300
2025-01-25,Jack THOMAS,,17,6,2026-04-11 20:55:02.418300
2025-02-01,Marek SMOLARZ,Mariana RANCZ,22,7,2026-04-11 20:55:02.418300
2025-02-08,Will BROWN,Amie HOPP,26,6,2026-04-11 20:55:02.418300
2025-02-15,Bernhard FÜHRICHT,Anna LIPP,23,7,2026-04-11 20:55:02.418300
2025-02-22,Klaus DERNDORFER,Nicole SCHATZL,26,8,2026-04-11 20:55:02.418300
2025-03-01,Bernhard FÜHRICHT,Anna LIPP,24,5,2026-04-11 20:55:02.418300
2025-03-08,James RAVENSCROFT,Christina MIESBAUER,20,5,2026-04-11 20:55:02.418300
2025-03-15,Ernest KRAMBERGER-KAPLAN,Elizabeth PITT,22,7,2026-04-11 20:55:02.418300
2025-03-22,James RAVENSCROFT,Bettina PICHLER,19,5,2026-04-11 20:55:02.418300
2025-03-29,Ben JECOCK,Trish SEEGERS,28,8,2026-04-11 20:55:02.418300
2025-04-05,Ronald PLANK,Anna LIPP,41,7,2026-04-11 20:55:02.418300
2025-04-12,Tom EIDINGER,Anna LIPP,48,7,2026-04-11 20:55:02.418300
2025-04-19,Will BROWN,Leopoldine MESSNER,27,6,2026-04-11 20:55:02.418300
2025-04-26,Benjamin BANNWINKLER,Anna LIPP,19,9,2026-04-11 20:55:02.418300
2025-05-03,Alan RYAN,Anna LIPP,40,7,2026-04-11 20:55:02.418300
2025-05-10,Ernest KRAMBERGER-KAPLAN,Bettina PICHLER,27,5,2026-04-11 20:55:02.418300
2025-05-17,Bernhard FÜHRICHT,Anna LIPP,28,5,2026-04-11 20:55:02.418300
